0	上海浦东近年来颁布实行了涉及经济、贸易、建设、规划、科技、文教等领域的七十一件法规性文件，确保了浦东开发的有序进行。浦东开发开放是一项振兴上海，建设现代化经济、贸易、金融中心的跨世纪工程，因此大量出现的是以前不曾遇到过的新情况、新问题。对此，浦东不是简单的采取“干一段时间，等积累了经验以后再制定法规条例”的做法，而是借鉴发达国家和深圳等特区的经验教训，聘请国内外有关专家学者，积极、及时地制定和推出法规性文件，使这些经济活动一出现就被纳入法制轨道。去年初浦东新区诞生的中国第一家医疗机构药品采购服务中心，正因为一开始就比较规范，运转至今，成交药品一亿多元，没有发现一例回扣。建筑是开发浦东的一项主要经济活动，这些年有数百家建筑公司、四千余个建筑工地遍布在这片热土上。为规范建筑行为，防止出现无序现象，新区管委会根据国家和上海市的有关规定，结合浦东开发实际，及时出台了一系列规范建设市场的文件，其中包括工程施工招投标管理办法、拆迁工作若干规定、整治违章建筑实施办法、通信设施及管线配套建设意见、建设工地施工环境管理暂行办法等，基本做到了每个环节都有明确而又具体的规定。建筑公司进区，有关部门先送上这些法规性文件，然后有专门队伍进行监督检查。	尽管浦东新区制定的法规性文件有些比较“粗”，有些还只是暂行规定，有待在实践中逐步完善，但这种法制紧跟经济和社会活动的做法，受到了国内外投资者的好评，他们认为，到浦东新区投资办事有章法，讲规矩，利益能得到保障。（完）	Evaluation
1	上海浦东近年来颁布实行了涉及经济、贸易、建设、规划、科技、文教等领域的七十一件法规性文件，确保了浦东开发的有序进行。	浦东开发开放是一项振兴上海，建设现代化经济、贸易、金融中心的跨世纪工程，因此大量出现的是以前不曾遇到过的新情况、新问题。对此，浦东不是简单的采取“干一段时间，等积累了经验以后再制定法规条例”的做法，而是借鉴发达国家和深圳等特区的经验教训，聘请国内外有关专家学者，积极、及时地制定和推出法规性文件，使这些经济活动一出现就被纳入法制轨道。去年初浦东新区诞生的中国第一家医疗机构药品采购服务中心，正因为一开始就比较规范，运转至今，成交药品一亿多元，没有发现一例回扣。建筑是开发浦东的一项主要经济活动，这些年有数百家建筑公司、四千余个建筑工地遍布在这片热土上。为规范建筑行为，防止出现无序现象，新区管委会根据国家和上海市的有关规定，结合浦东开发实际，及时出台了一系列规范建设市场的文件，其中包括工程施工招投标管理办法、拆迁工作若干规定、整治违章建筑实施办法、通信设施及管线配套建设意见、建设工地施工环境管理暂行办法等，基本做到了每个环节都有明确而又具体的规定。建筑公司进区，有关部门先送上这些法规性文件，然后有专门队伍进行监督检查。	Elaboration
2	浦东开发开放是一项振兴上海，建设现代化经济、贸易、金融中心的跨世纪工程，因此大量出现的是以前不曾遇到过的新情况、新问题。对此，浦东不是简单的采取“干一段时间，等积累了经验以后再制定法规条例”的做法，而是借鉴发达国家和深圳等特区的经验教训，聘请国内外有关专家学者，积极、及时地制定和推出法规性文件，使这些经济活动一出现就被纳入法制轨道。去年初浦东新区诞生的中国第一家医疗机构药品采购服务中心，正因为一开始就比较规范，运转至今，成交药品一亿多元，没有发现一例回扣。	建筑是开发浦东的一项主要经济活动，这些年有数百家建筑公司、四千余个建筑工地遍布在这片热土上。为规范建筑行为，防止出现无序现象，新区管委会根据国家和上海市的有关规定，结合浦东开发实际，及时出台了一系列规范建设市场的文件，其中包括工程施工招投标管理办法、拆迁工作若干规定、整治违章建筑实施办法、通信设施及管线配套建设意见、建设工地施工环境管理暂行办法等，基本做到了每个环节都有明确而又具体的规定。建筑公司进区，有关部门先送上这些法规性文件，然后有专门队伍进行监督检查。	Joint
3	中国十四个边境对外开放城市一九九五年经济建设取得可喜成果。据统计，这些城市去年完成国内生产总值一百九十多亿元，比开放前的一九九一年增长九成多。	国务院于一九九二年先后批准了黑河、凭祥、珲春、伊宁、瑞丽等十四个边境城市为对外开放城市，同时还批准这些城市设立十四个边境经济合作区。三年多来，这些城市社会经济发展迅速，地方经济实力明显增强；经济年平均增长百分之十七，高于全国年平均增长速度。据介绍，这十四个城市的城市建设和合作区开发建设步伐加快。三年来，这些城市累计完成固定资产投资一百二十亿元，昔日边境城市的“楼不高，路不平、灯不明、水不清、通讯不畅”的状况已得到了改变。经济合作区内已开发二十二点六平方公里，引进“三资”企业二百八十七家，实际利用外资八点九亿美元。此外，还有内联企业五千一百家，已投产工业项目一百七十五个。（完）	Elaboration
4	国务院于一九九二年先后批准了黑河、凭祥、珲春、伊宁、瑞丽等十四个边境城市为对外开放城市，同时还批准这些城市设立十四个边境经济合作区。三年多来，这些城市社会经济发展迅速，地方经济实力明显增强；经济年平均增长百分之十七，高于全国年平均增长速度。	据介绍，这十四个城市的城市建设和合作区开发建设步伐加快。三年来，这些城市累计完成固定资产投资一百二十亿元，昔日边境城市的“楼不高，路不平、灯不明、水不清、通讯不畅”的状况已得到了改变。经济合作区内已开发二十二点六平方公里，引进“三资”企业二百八十七家，实际利用外资八点九亿美元。此外，还有内联企业五千一百家，已投产工业项目一百七十五个。（完）	Joint
5	“八五”（一九九一至一九九五年）期间，西藏金融体制改革坚持与全国框架一致、体制衔接的方针，顺利完成了西藏各级人民银行的分设工作，实现信贷资金使用从粗放型经营方式向集约型经营方式转变。去年，全区各项存款首次突破了年净增二十亿元大关。	据中国人民银行西藏自治区分行行长索朗达吉介绍，“八五”期间，西藏自治区分行在全国率先撤销了人民银行县支行，中国农业银行西藏自治区分行于去年七月一日正式对外挂牌营业，实现了金融体制在框架上与全国一致。外汇体制改革实现了与全国接轨，结售制度和新的核销制度在西藏全面实施，有效地防止了外汇流失。去年全区各项存款和贷款的增幅远远高于经济发展速度，实现了年初金融工作会议提出的要求。西藏银行部门积极调整信贷结构，以确保农牧业生产等重点产业的投入，加大对工业、能源、交通、通信等建设的正常资金供应量。去年新增贷款十四点四一亿元，比上年增加八亿多元。农牧业生产贷款（包括扶贫贷款）比上年新增四点三八亿元；乡镇企业贷款增幅为百分之六十一点八三。到去年底，全区各项存款余额达七十一点六三亿元，比上年同期增长百分之四十一点七八，其中，城乡居民储蓄存款为十九点三七亿元，比上年同期增长百分之四十八点二。“八五”期间各项存款比“七五”（一九八六至一九九０年）末净增五十亿元，年平均增长百分之二十七点四九。在新增的储蓄存款中，定期存款占百分之七十二点一五。货币回笼的增加，为平抑全区物价发挥了作用。（完）	Elaboration
6	据中国人民银行西藏自治区分行行长索朗达吉介绍，“八五”期间，西藏自治区分行在全国率先撤销了人民银行县支行，中国农业银行西藏自治区分行于去年七月一日正式对外挂牌营业，实现了金融体制在框架上与全国一致。外汇体制改革实现了与全国接轨，结售制度和新的核销制度在西藏全面实施，有效地防止了外汇流失。去年全区各项存款和贷款的增幅远远高于经济发展速度，实现了年初金融工作会议提出的要求。	西藏银行部门积极调整信贷结构，以确保农牧业生产等重点产业的投入，加大对工业、能源、交通、通信等建设的正常资金供应量。去年新增贷款十四点四一亿元，比上年增加八亿多元。农牧业生产贷款（包括扶贫贷款）比上年新增四点三八亿元；乡镇企业贷款增幅为百分之六十一点八三。到去年底，全区各项存款余额达七十一点六三亿元，比上年同期增长百分之四十一点七八，其中，城乡居民储蓄存款为十九点三七亿元，比上年同期增长百分之四十八点二。“八五”期间各项存款比“七五”（一九八六至一九九０年）末净增五十亿元，年平均增长百分之二十七点四九。在新增的储蓄存款中，定期存款占百分之七十二点一五。货币回笼的增加，为平抑全区物价发挥了作用。（完）	Elaboration
7	西藏银行部门积极调整信贷结构，以确保农牧业生产等重点产业的投入，加大对工业、能源、交通、通信等建设的正常资金供应量。去年新增贷款十四点四一亿元，比上年增加八亿多元。农牧业生产贷款（包括扶贫贷款）比上年新增四点三八亿元；乡镇企业贷款增幅为百分之六十一点八三。	到去年底，全区各项存款余额达七十一点六三亿元，比上年同期增长百分之四十一点七八，其中，城乡居民储蓄存款为十九点三七亿元，比上年同期增长百分之四十八点二。“八五”期间各项存款比“七五”（一九八六至一九九０年）末净增五十亿元，年平均增长百分之二十七点四九。在新增的储蓄存款中，定期存款占百分之七十二点一五。货币回笼的增加，为平抑全区物价发挥了作用。（完）	Joint
8	据中国人民银行统计，截至去年底，中国金融机构对三资企业的人民币贷款余额已达九百九十五点六亿元，这一数字比上年末增加二百零三点三亿元，增长百分之二十七点六。据了解，近几年，随着中国经济的不断发展和对外开放的不断深入，外商来华投资热情很高，投资项目和金额增长十分迅速。据统计，迄今中国已累计批准外商投资项目近二十五点九万个，实际使用外资金额一千三百五十四亿美元。目前，已有十二万多家外商投资企业在中国开业，而且这些已开业的外商投资企业绝大部分生产经营状况较好。据国家税务总局统计，去年全国外商投资企业和外国企业缴纳的所得税达七十五点六七亿元，比上年增长百分之五十七点一。	据了解，目前，在外商投资企业获得的人民币贷款中，有近一半是中国银行提供的。仅去年中国银行就累计向外商投资企业提供了六百九十多亿元的人民币贷款，另外还向外商投资企业发放外汇现汇贷款四十多亿美元，这些贷款重点支持基础原材料、化工、机械等行业。据统计，到去年底，中国银行向外商投资企业累计发放的外汇现汇贷款和人民币贷款达到二百一十亿美元和二千五百九十三亿元，人民币贷款余额已近四百五十四亿元。目前，约有十五万家外商投资企业在中国银行开立帐户，其中二万多家获得中国银行的贷款支持。据中国银行有关负责人透露，今年中国银行仍将继续发挥其在支持外商投资企业方面的主渠道作用，对投资企业的贷款规模将保持适度增长。贷款将向能源、交通、电力等基础设施产业倾斜，尤其以国外大公司在华设立的大中型企业为重点；此外，高技术、高科技、高出口、高利税的企业也将获得中国银行的贷款支持。（完）	Elaboration
9	据中国人民银行统计，截至去年底，中国金融机构对三资企业的人民币贷款余额已达九百九十五点六亿元，这一数字比上年末增加二百零三点三亿元，增长百分之二十七点六。	据了解，近几年，随着中国经济的不断发展和对外开放的不断深入，外商来华投资热情很高，投资项目和金额增长十分迅速。据统计，迄今中国已累计批准外商投资项目近二十五点九万个，实际使用外资金额一千三百五十四亿美元。目前，已有十二万多家外商投资企业在中国开业，而且这些已开业的外商投资企业绝大部分生产经营状况较好。据国家税务总局统计，去年全国外商投资企业和外国企业缴纳的所得税达七十五点六七亿元，比上年增长百分之五十七点一。	Background
